Field,Count
path,677
sha,677
source,677
content,677
cwl_class,675
cwl_id,21
cwl_inputs,675
cwl_outputs,675
cwl_hints,463
cwl_cwlVersion,675
cwl_baseCommand,475
cwl_arguments,87
cwl_$namespaces,590
cwl_$schemas,583
cwl_requirements,270
cwl_doc,624
cwl_stdout,181
cwl_s:name,312
cwl_s:license,341
cwl_s:creator,335
cwl_label,446
cwl_s:downloadUrl,271
cwl_s:codeRepository,322
cwl_s:about,136
cwl_stderr,109
cwl_s:alternateName,178
cwl_s:author,213
cwl_successCodes,4
cwl_expression,11
cwl_s:isPartOf,274
cwl_s:mainEntity,59
cwl_steps,188
cwl_requirements_error,320
yaml_error,2
cwl_sd:metadata,28
cwl_sd:upstream,95
error,9
cwl_sd:serviceTag,2
cwl_stdin,2
cwl_description,1
